"SOURCE","TARGET"
"Texas","Oklahoma State"
"Colorado","Oregon State"
"Iowa","Penn State"
"Duke","Pittsburgh"
"Nevada-Las Vegas","San Jose State"
"Tennessee","South Carolina"
"North Carolina State","Syracuse"
"New Mexico State","Texas State"
"Tulsa","Tulane"
"New Mexico","Utah State"
"Arkansas","Vanderbilt"
"North Carolina","Virginia"
"Louisville","Wake Forest"
"Stanford","Washington State"
"Miami OH","Buffalo"
"Bowling Green State","Kent State"
"Ball State","Toledo"
"Temple","Central Florida"
"Akron","Northern Illinois"
"Western Michigan","Ohio"
"Colorado","Arizona"
"Western Kentucky","Middle Tennessee State"
"Virginia","Pittsburgh"
"Louisiana State","Alabama"
"Texas-San Antonio","Alabama-Birmingham"
"Coastal Carolina","Appalachian State"
"Utah","Arizona State"
"South Alabama","Arkansas State"
"Air Force","Army"
"Texas A&M","Auburn"
"Oklahoma State","Baylor"
"Brigham Young","Boise State"
"Virginia Tech","Boston College"
"Navy","Cincinnati"
"Louisville","Clemson"
"Miami FL","Duke"
"Central Michigan","Eastern Michigan"
"Florida International","Florida Atlantic"
"Nevada-Las Vegas","Fresno State"
"Kentucky","Georgia"
"North Carolina","Georgia Tech"
"Minnesota","Illinois"
"Kansas","Iowa State"
"Georgia Southern","Louisiana-Monroe"
"Liberty","Massachusetts"
"East Carolina","Memphis"
"Penn State","Michigan"
"Maryland","Michigan State"
"Louisiana Tech","Mississippi State"
"Florida","Missouri"
"Alcorn State","New Mexico State"
"Florida State","North Carolina State"
"Northwestern","Notre Dame"
"Nebraska","Ohio State"
"Texas Tech","Oklahoma"
"UCLA","Oregon"
"Iowa","Purdue"
"New Mexico","San Diego State"
"Mississippi","South Carolina"
"Oregon State","Southern California"
"Houston","Southern Methodist"
"Marshall","Southern Mississippi"
"Wake Forest","Syracuse"
"Charlotte","Tennessee"
"Kansas State","Texas Christian"
"Georgia State","Texas State"
"Rice","Texas-El Paso"
"Louisiana","Troy"
"South Florida","Tulane"
"Connecticut","Tulsa"
"Hawaii","Utah State"
"Stanford","Washington"
"California","Washington State"
"Texas","West Virginia"
"Rutgers","Wisconsin"
"San Jose State","Wyoming"
"Kent State","Buffalo"
"Ohio","Miami OH"
"Toledo","Northern Illinois"
"North Carolina State","Wake Forest"
"Fresno State","Boise State"
"Louisville","Syracuse"
"New Mexico","Air Force"
"Mississippi State","Alabama"
"Southern Mississippi","Alabama-Birmingham"
"Texas State","Appalachian State"
"UCLA","Arizona State"
"Coastal Carolina","Arkansas State"
"Lafayette","Army"
"Central Michigan","Bowling Green State"
"Massachusetts","Brigham Young"
"Southern California","California"
"Navy","Central Florida"
"South Florida","Cincinnati"
"Boston College","Clemson"
"North Carolina","Duke"
"Akron","Eastern Michigan"
"South Carolina","Florida"
"Western Kentucky","Florida Atlantic"
"Texas-San Antonio","Florida International"
"Auburn","Georgia"
"Miami FL","Georgia Tech"
"Maryland","Indiana"
"Baylor","Iowa State"
"Kansas","Kansas State"
"Georgia State","Louisiana"
"Arkansas","Louisiana State"
"Rice","Louisiana Tech"
"South Alabama","Louisiana-Monroe"
"Charlotte","Marshall"
"Tulsa","Memphis"
"Rutgers","Michigan"
"Texas-El Paso","Middle Tennessee State"
"Purdue","Minnesota"
"Vanderbilt","Missouri"
"Illinois","Nebraska"
"Colorado State","Nevada"
"San Diego State","Nevada-Las Vegas"
"Iowa","Northwestern"
"Florida State","Notre Dame"
"Michigan State","Ohio State"
"Oklahoma State","Oklahoma"
"North Texas","Old Dominion"
"Wisconsin","Penn State"
"Virginia Tech","Pittsburgh"
"Connecticut","Southern Methodist"
"Oregon State","Stanford"
"Houston","Temple"
"Kentucky","Tennessee"
"Texas Tech","Texas"
"Mississippi","Texas A&M"
"Georgia Southern","Troy"
"East Carolina","Tulane"
"Oregon","Utah"
"San Jose State","Utah State"
"Liberty","Virginia"
"Colorado","Washington State"
"Texas Christian","West Virginia"
"Western Michigan","Ball State"
"Northern Illinois","Miami OH"
"Buffalo","Ohio"
"Tulane","Houston"
"Florida Atlantic","North Texas"
"Kent State","Toledo"
"New Mexico","Boise State"
"Southern Methodist","Memphis"
"Citadel","Alabama"
"Georgia State","Appalachian State"
"Louisiana-Monroe","Arkansas State"
"Colgate","Army"
"Liberty","Auburn"
"Akron","Bowling Green State"
"New Mexico State","Brigham Young"
"Cincinnati","Central Florida"
"Duke","Clemson"
"Connecticut","East Carolina"
"Idaho","Florida"
"Charlotte","Florida International"
"Boston College","Florida State"
"San Diego State","Fresno State"
"Massachusetts","Georgia"
"Coastal Carolina","Georgia Southern"
"Virginia","Georgia Tech"
"Nevada-Las Vegas","Hawaii"
"Illinois","Iowa"
"Texas Tech","Kansas State"
"Middle Tennessee State","Kentucky"
"South Alabama","Louisiana"
"Rice","Louisiana State"
"Texas-San Antonio","Marshall"
"Virginia Tech","Miami FL"
"Indiana","Michigan"
"Arkansas","Mississippi State"
"Tennessee","Missouri"
"Tulsa","Navy"
"Michigan State","Nebraska"
"San Jose State","Nevada"
"Western Carolina","North Carolina"
"Louisville","North Carolina State"
"Minnesota","Northwestern"
"Syracuse","Notre Dame"
"Maryland","Ohio State"
"Kansas","Oklahoma"
"West Virginia","Oklahoma State"
"Virginia Military Institute","Old Dominion"
"Arizona State","Oregon"
"Rutgers","Penn State"
"Wake Forest","Pittsburgh"
"Chattanooga","South Carolina"
"Louisiana Tech","Southern Mississippi"
"South Florida","Temple"
"Iowa State","Texas"
"Alabama-Birmingham","Texas A&M"
"Baylor","Texas Christian"
"Texas State","Troy"
"Southern California","UCLA"
"Colorado","Utah"
"Colorado State","Utah State"
"Mississippi","Vanderbilt"
"Oregon State","Washington"
"Arizona","Washington State"
"Texas-El Paso","Western Kentucky"
"Purdue","Wisconsin"
"Air Force","Wyoming"
"Ball State","Miami OH"
"Northern Illinois","Western Michigan"
"Colorado State","Air Force"
"Mississippi","Mississippi State"
"Bowling Green State","Buffalo"
"South Florida","Central Florida"
"East Carolina","Cincinnati"
"Kent State","Eastern Michigan"
"Nebraska","Iowa"
"Houston","Memphis"
"Arkansas","Missouri"
"Akron","Ohio"
"West Virginia","Oklahoma"
"Oregon State","Oregon"
"Kansas","Texas"
"Central Michigan","Toledo"
"Virginia","Virginia Tech"
"Washington State","Washington"
"Auburn","Alabama"
"Troy","Appalachian State"
"Arizona","Arizona State"
"Texas State","Arkansas State"
"Texas Tech","Baylor"
"Utah State","Boise State"
"Colorado","California"
"Florida Atlantic","Charlotte"
"South Carolina","Clemson"
"Florida State","Florida"
"San Jose State","Fresno State"
"Georgia Tech","Georgia"
"Georgia State","Georgia Southern"
"San Diego State","Hawaii"
"Kansas State","Iowa State"
"Louisville","Kentucky"
"New Mexico State","Liberty"
"Louisiana-Monroe","Louisiana"
"Florida International","Marshall"
"Pittsburgh","Miami FL"
"Rutgers","Michigan State"
"Alabama-Birmingham","Middle Tennessee State"
"Wisconsin","Minnesota"
"Nevada","Nevada-Las Vegas"
"North Carolina","North Carolina State"
"Texas-San Antonio","North Texas"
"Illinois","Northwestern"
"Southern California","Notre Dame"
"Michigan","Ohio State"
"Maryland","Penn State"
"Indiana","Purdue"
"Old Dominion","Rice"
"Coastal Carolina","South Alabama"
"Texas-El Paso","Southern Mississippi"
"UCLA","Stanford"
"Boston College","Syracuse"
"Connecticut","Temple"
"Louisiana State","Texas A&M"
"Oklahoma State","Texas Christian"
"Navy","Tulane"
"Southern Methodist","Tulsa"
"Brigham Young","Utah"
"Tennessee","Vanderbilt"
"Duke","Wake Forest"
"Louisiana Tech","Western Kentucky"
"New Mexico","Wyoming"
"Buffalo","Northern Illinois"
"Utah","Washington"
"Georgia","Alabama"
"Middle Tennessee State","Alabama-Birmingham"
"Louisiana","Appalachian State"
"Memphis","Central Florida"
"Pittsburgh","Clemson"
"Boise State","Fresno State"
"Drake","Iowa State"
"Norfolk State","Liberty"
"East Carolina","North Carolina State"
"Northwestern","Ohio State"
"Texas","Oklahoma"
"Akron","South Carolina"
"California","Stanford"
"Marshall","Virginia Tech"
